run_id,timestamp,dataset,sequence,density,model,model_family,model_scale,mode,tracker,device,conf,half,imgsz,reid_weights,with_reid,frame_rate,num_frames,num_frames_with_detections,num_frames_with_tracks,num_track_rows,avg_det_ms,std_det_ms,fps_det,avg_track_ms,std_track_ms,fps_track,avg_total_ms,std_total_ms,fps_total,avg_preprocess_ms,std_preprocess_ms,fps_preprocess,avg_inference_ms,std_inference_ms,fps_inference,avg_postprocess_ms,std_postprocess_ms,fps_postprocess,head_active_final,head_end2end_final,frame1_det_ms,frame1_total_ms,frame1_postprocess_ms,HOTA,DetA,AssA,LocA,MOTA,MOTP,IDSW,Frag,CLR_FP,CLR_FN,FP,FN,MT,PT,ML,MTR,MLR,mostly_tracked_ratio,mostly_lost_ratio,GT_IDs,num_unique_objects,CLR_Re,CLR_Pr,Recall,Precision,IDF1,IDR,IDP,mot_results_file,run_dir
4,20260329_071406,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5275,10.61588733253302,1.0648490142360936,94.1984375564575,19.278484500343136,23.345556652188392,51.87129724757156,33.99236433207989,23.49356884145513,29.418371438678125,0.7480091672429504,0.0752342195088867,1336.8820113339652,9.130272499945326,0.9924491688403728,109.52575621439428,0.3577445007006948,0.0633916167283665,2795.2910472176486,End-to-End (one-to-one),True,14.810500026214868,228.14060002565384,0.6353000062517822,32.224,21.728,48.067,86.003,23.535,83.936,24,87,439,13745,439,13745,7,18,37,11.29,59.677,11.29,59.677,62,62,26.027,91.678,26.027,91.678,35.27,22.641,79.754,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_botsort_0_run04/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_botsort_0_run04
5,20260329_071435,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5275,11.06194833148038,1.7382858702119866,90.3999883234108,19.463680668462377,23.71698499763784,51.37774386220443,34.63740466734938,24.03936073912945,28.870523343298885,0.7521453322260641,0.0826327467036546,1329.5302877708227,9.551888500379087,1.6237026970663415,104.69133930534394,0.3698730020551011,0.0890700260214746,2703.6306906526447,End-to-End (one-to-one),True,15.654100046958774,212.71440002601597,0.631700037047267,32.224,21.728,48.07,86.002,23.535,83.936,24,87,439,13745,439,13745,7,18,37,11.29,59.677,11.29,59.677,62,62,26.027,91.678,26.027,91.678,35.27,22.641,79.754,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_botsort_0_run05/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_botsort_0_run05
1,20260328_162738,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,bytetrack,0,0.25,False,640,,False,30,600,600,600,5828,9.428328332918076,2.3858153007644205,106.06334067817716,1.0050818328939688,0.136555620501487,994.9438615566888,14.337935499982754,2.630333711444421,69.74504802321107,0.701392000191845,0.0631577351274323,1425.7362498096352,8.034940333745908,0.6327736763313417,124.45643134400198,0.4053725004390192,1.82460896793865,2466.866891357944,End-to-End (one-to-one),True,9.229599963873625,13.915600022301078,0.3458000137470662,31.85,23.216,43.908,84.287,25.322,82.095,39,126,542,13295,542,13295,8,17,37,12.903,59.677,12.903,59.677,62,62,28.448,90.7,28.448,90.7,36.954,24.272,77.385,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run01/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run01
2,20260328_162754,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,bytetrack,0,0.25,False,640,,False,30,600,600,600,5830,9.352089500559185,1.4943143521240378,106.92797582189604,1.0017344987136312,0.1556454938599411,998.268504562977,14.259450334163072,1.731807533101339,70.12893039812204,0.7098858304865038,0.0981582110742272,1408.67722252559,8.01682850025827,1.378362184704553,124.7376066442963,0.3344608334009535,0.0359160161127088,2989.8867076049955,End-to-End (one-to-one),True,9.084699966479093,13.810500036925076,0.3599000046961009,31.86,23.226,43.917,84.289,25.332,82.097,39,124,542,13293,542,13293,8,17,37,12.903,59.677,12.903,59.677,62,62,28.459,90.703,28.459,90.703,36.959,24.277,77.376,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run02/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run02
3,20260328_162810,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,bytetrack,0,0.25,False,640,,False,30,600,600,600,5830,8.990519832877908,1.026553456003221,111.22827362474048,1.0173586650247064,0.1673003728386487,982.9375169038494,13.938577332689116,1.355406113868078,71.74333334972242,0.7121786678908393,0.2105493558480473,1404.1420293612011,7.645699833907808,0.7971012827282036,130.79247442662003,0.3365273352634783,0.0302596381820752,2971.526812872622,End-to-End (one-to-one),True,9.028700005728751,13.649000029545276,0.3542000195011496,31.864,23.216,43.947,84.293,25.3,82.11,39,124,545,13296,545,13296,8,17,37,12.903,59.677,12.903,59.677,62,62,28.443,90.652,28.443,90.652,36.934,24.261,77.324,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run03/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run03
4,20260329_071321,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,bytetrack,0,0.25,False,640,,False,30,600,600,600,5832,8.67975499985429,0.130017949493828,115.2106251866311,0.9519453336057874,0.1085016352548293,1050.480489475368,13.377417167745683,0.189292596166576,74.75284559497044,0.7017346671394383,0.031405354115651,1425.04004266515,7.403815998695791,0.1060137620310794,135.06548517361233,0.299393166108833,0.0211420083587475,3340.0895985598017,End-to-End (one-to-one),True,8.583599992562085,13.080200005788356,0.2903999993577599,31.873,23.234,43.937,84.289,25.343,82.098,39,124,542,13291,542,13291,8,17,37,12.903,59.677,12.903,59.677,62,62,28.47,90.706,28.47,90.706,36.972,24.288,77.383,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run04/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run04
5,20260329_071338,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,end2end,bytetrack,0,0.25,False,640,,False,30,600,600,600,5831,10.55788133322494,2.594747030695215,94.7159726879168,0.9613906661979854,0.1082419835721474,1040.1598800149611,15.317415500952242,2.635984279622,65.28516510751,0.7036095008758517,0.0384933499546913,1421.2428893515537,9.185953834482158,2.4400347474468007,108.861857790555,0.3868718330825989,0.1292000316895266,2584.8353756643105,End-to-End (one-to-one),True,15.228300006128848,19.81799997156486,0.6442000158131123,31.86,23.226,43.917,84.286,25.327,82.097,39,124,543,13293,543,13293,8,17,37,12.903,59.677,12.903,59.677,62,62,28.459,90.688,28.459,90.688,36.957,24.277,77.362,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run05/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_end2end_bytetrack_0_run05
1,20260328_162616,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5467,12.06273049969847,1.9608004246141533,82.8999702865779,21.160563331310797,23.72616557456731,47.257721089132026,37.55864483314023,24.26264355297129,26.625028790113333,0.8441958334879018,0.1261661165176321,1184.5592696997492,9.844473834285358,1.6879477647560852,101.57983218130958,0.9693595007411204,0.1995159626193908,1031.6090152677657,NMS (one-to-many),False,15.501600049901754,220.7358000450768,1.5109999803826213,33.266,22.265,49.971,85.622,24.068,83.421,23,65,486,13600,486,13600,8,17,37,12.903,59.677,12.903,59.677,62,62,26.807,91.11,26.807,91.11,36.71,23.755,80.739,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run01/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run01
2,20260328_162649,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5468,12.612076167424677,0.8559488211756227,79.28908664402675,23.13940066572589,26.39835535294512,43.21633107296514,40.327701834709536,26.46299630237173,24.796850663563298,0.8896986679368032,0.0595356310706593,1123.9760562067422,10.31774316827068,0.8142757328472803,96.92041987197538,0.9939848336701592,0.0713602067907325,1006.0515675149998,NMS (one-to-many),False,10.298400011379272,248.39600000996143,0.8399999933317304,33.264,22.267,49.962,85.621,24.073,83.418,23,65,486,13599,486,13599,8,17,37,12.903,59.677,12.903,59.677,62,62,26.812,91.112,26.812,91.112,36.708,23.755,80.724,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run02/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run02
3,20260328_162721,MOT17,MOT17-02,31.0,yolo26x.pt,yolo26,x,nms,botsort,0,0.25,False,640,osnet_x0_25_msmt17.pt,True,30,600,600,600,5468,12.761740833811928,0.6890409755162779,78.35921548810362,22.959976500230063,25.485201593174768,43.55405154661111,40.31012600084068,25.467527762327613,24.80766247119011,0.8912120006668071,0.083177918886042,1122.067475810242,10.453698000637814,0.6515521477215647,95.65992818416858,1.0062120007933115,0.0859245732081413,993.8263499258466,NMS (one-to-many),False,9.29700001142919,236.9207000010647,0.8048000163398683,33.266,22.269,49.962,85.62,24.073,83.418,23,65,486,13599,486,13599,8,17,37,12.903,59.677,12.903,59.677,62,62,26.812,91.112,26.812,91.112,36.708,23.755,80.724,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run03/mot_results.txt,results/paper_main/MOT17/MOT17-02/yolo26_x_nms_botsort_0_run03
