scale,n_pairs,HOTA_e2e_minus_nms,HOTA_pvalue,IDF1_e2e_minus_nms,IDF1_pvalue,Frag_e2e_minus_nms,Frag_pvalue,IDSW_e2e_minus_nms,IDSW_pvalue
l,9,-0.8884622222222227,0.0078125,-1.2006044444444446,0.01953125,138.57777777777775,0.00390625,6.133333333333334,0.01171875
m,9,-0.989225555555556,0.00390625,-1.0863722222222212,0.0390625,34.79999999999999,0.01171875,0.7777777777777796,0.9140625
n,9,-0.4476933333333334,0.1640625,-0.7649044444444439,0.0390625,77.35555555555555,0.00390625,3.022222222222221,0.30078125
s,9,-0.5108355555555562,0.09765625,-0.6144502222222217,0.1640625,44.75555555555556,0.0078125,-0.13333333333333405,0.8203125
x,9,-1.6840199999999983,0.00390625,-2.2783822222222225,0.0078125,140.0,0.00390625,4.000000000000002,0.1640625
ALL,45,-0.9040473333333333,2.2862423065816984e-09,-1.1889427111111106,1.053537062034593e-07,87.09777777777778,7.756113695787722e-09,2.7600000000000002,0.031943800513568266
