dataset,,,MOT17,MOT17,MOT17,MOT17,MOT17,SOMPT22,SOMPT22,SOMPT22,SOMPT22,SOMPT22,MOT20,MOT20,MOT20,MOT20,MOT20
metric,,,HOTA,IDF1,MOTA,IDSW,Frag,HOTA,IDF1,MOTA,IDSW,Frag,HOTA,IDF1,MOTA,IDSW,Frag
family,scale,mode,,,,,,,,,,,,,,,
rtdetr,l,nms,38.374,47.148466666666664,36.154266666666665,68.06666666666666,122.73333333333333,34.1102,39.16366666666667,36.22526666666667,100.93333333333334,201.66666666666666,16.850753333333333,20.323266666666665,13.17452,130.46666666666667,282.6666666666667
rtdetr,x,nms,39.197066666666665,48.711133333333336,37.108799999999995,70.66666666666667,116.66666666666667,34.18446666666667,38.876666666666665,36.91513333333333,97.93333333333334,195.8,17.644920000000003,21.963113333333336,14.319606666666667,138.6,301.1333333333333
yolo11,l,nms,36.13166666666667,42.88120000000001,32.2936,44.4,86.93333333333334,30.237466666666666,34.090066666666665,29.428266666666666,83.66666666666667,167.0,10.074213333333335,11.136598666666666,6.727744666666666,36.4,91.66666666666667
yolo11,m,nms,36.943599999999996,43.48186666666667,32.34793333333333,51.666666666666664,93.8,30.954866666666664,34.373733333333334,31.465066666666665,98.66666666666667,192.06666666666666,11.24424,12.737813333333332,8.166766,67.93333333333334,151.13333333333333
yolo11,n,nms,34.4302,40.197199999999995,30.237266666666667,44.8,81.26666666666667,28.096600000000002,31.764133333333334,28.4588,114.46666666666667,202.2,12.602319999999999,15.719373333333332,10.209847333333332,129.8,366.06666666666666
yolo11,s,nms,36.09113333333333,42.93946666666667,32.0674,48.46666666666667,95.93333333333334,30.849666666666668,35.034,31.986533333333334,113.73333333333333,229.53333333333333,12.365346666666666,14.603673333333335,9.506866666666667,131.0,331.2
yolo11,x,nms,36.5628,43.003400000000006,31.479733333333336,43.333333333333336,83.0,31.3216,35.94113333333333,30.9908,81.0,171.26666666666668,10.665553333333333,11.639313333333332,6.986768,48.733333333333334,100.06666666666666
yolo26,l,end2end,36.76273333333334,43.68626666666667,31.176866666666665,46.266666666666666,142.13333333333333,30.6564,34.47806666666667,29.886466666666667,106.13333333333334,370.26666666666665,9.982153333333335,11.195686666666667,6.655906,52.333333333333336,283.93333333333334
yolo26,l,nms,37.10926666666667,44.18353333333334,31.790266666666664,42.266666666666666,90.4,31.951533333333334,36.25106666666667,31.587066666666665,98.13333333333334,192.53333333333333,11.005873333333334,12.527233333333333,7.6165,45.93333333333333,97.66666666666667
yolo26,m,end2end,36.38033333333333,43.436400000000006,31.434199999999997,42.733333333333334,110.13333333333334,28.878466666666668,32.296866666666666,27.935333333333332,97.06666666666666,240.8,8.807216666666667,9.901793333333334,6.140068,35.666666666666664,113.2
yolo26,m,nms,36.919,43.9126,31.901866666666667,44.0,93.26666666666667,30.354599999999998,34.011266666666664,29.7974,92.26666666666667,181.53333333333333,9.760093333333334,10.970310000000001,6.90176,36.86666666666667,84.93333333333334
yolo26,n,end2end,32.53873333333333,37.28966666666667,27.527733333333334,46.0,111.8,26.000866666666663,29.293866666666666,24.973733333333332,98.93333333333334,251.66666666666666,8.815293333333333,9.89146,6.023453333333333,82.66666666666667,287.26666666666665
yolo26,n,nms,32.63306666666667,37.53286666666667,28.249933333333335,45.0,77.33333333333333,26.787333333333333,30.5884,26.735733333333332,100.66666666666667,169.93333333333334,9.277573333333333,10.648439999999999,6.331784666666667,72.86666666666666,171.4
yolo26,s,end2end,35.8442,42.3542,30.7014,46.0,104.4,29.945066666666666,33.7234,30.42073333333333,104.26666666666667,305.6,9.236766666666666,10.386569333333334,6.561289866666667,44.13333333333333,140.13333333333333
yolo26,s,nms,35.98433333333333,42.495599999999996,31.482933333333335,43.4,89.53333333333333,31.2556,35.21726666666667,32.1828,104.4,219.13333333333333,9.318606666666666,10.594653333333333,6.547104333333333,47.0,107.2
yolo26,x,end2end,36.17633333333333,43.236200000000004,31.999533333333332,51.666666666666664,175.73333333333332,28.9952,32.2816,26.3838,83.06666666666666,287.73333333333335,10.360726666666666,11.189086666666666,6.628211333333334,47.8,295.6
yolo26,x,nms,37.837666666666664,45.370533333333334,32.93906666666667,48.0,91.33333333333333,30.886133333333337,34.86913333333334,28.977933333333333,75.2,149.93333333333334,11.860520000000001,13.302366666666668,7.971827333333334,47.333333333333336,97.8
