family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
rtdetr,l,nms,RT-DETR-L,MOT17,HOTA,3,38.373999999999995,8.156440569267945,18.112278388231164,58.63572161176883,29.296399999999995,45.0866
rtdetr,l,nms,RT-DETR-L,MOT20,HOTA,3,16.850753333333333,10.071069191626744,-8.167169443233572,41.868676109900235,8.29226,27.948400000000003
rtdetr,l,nms,RT-DETR-L,SOMPT22,HOTA,3,34.1102,6.735091200570339,17.379305956585416,50.841094043414586,29.717600000000004,41.8644
rtdetr,x,nms,RT-DETR-X,MOT17,HOTA,3,39.197066666666665,9.114032526457946,16.55655476157334,61.83757857175999,28.833799999999997,45.96540000000001
rtdetr,x,nms,RT-DETR-X,MOT20,HOTA,3,17.64492,10.69177821595641,-8.91492947192798,44.204769471927975,8.10576,29.201800000000002
rtdetr,x,nms,RT-DETR-X,SOMPT22,HOTA,3,34.184466666666665,5.454551630824788,20.634609259845547,47.734324073487784,30.393399999999996,40.4358
yolo11,l,nms,YOLO11-L,MOT17,HOTA,3,36.13166666666667,8.193044799910068,15.779015105150133,56.4843182281832,29.194599999999998,45.171000000000014
yolo11,l,nms,YOLO11-L,MOT20,HOTA,3,10.074213333333333,10.383865099072374,-15.72073755300043,35.8691642196671,2.24728,21.854
yolo11,l,nms,YOLO11-L,SOMPT22,HOTA,3,30.237466666666666,4.7106622478515,18.535532929460175,41.93940040387316,26.714999999999993,35.5882
yolo11,m,nms,YOLO11-M,MOT17,HOTA,3,36.9436,6.954010218571728,19.668880968148816,54.218319031851195,31.4084,44.749
yolo11,m,nms,YOLO11-M,MOT20,HOTA,3,11.24424,11.208958132993452,-16.600355607599603,39.088835607599606,3.52136,24.100600000000004
yolo11,m,nms,YOLO11-M,SOMPT22,HOTA,3,30.954866666666664,5.015991069901674,18.494454088121028,43.415279245212304,27.7366,36.7344
yolo11,n,nms,YOLO11-N,MOT17,HOTA,3,34.430200000000006,8.157726303327417,14.165284447766759,54.695115552233254,27.541200000000003,43.4384
yolo11,n,nms,YOLO11-N,MOT20,HOTA,3,12.60232,10.459419515212112,-13.380318460755761,38.584958460755765,2.5117599999999998,23.3952
yolo11,n,nms,YOLO11-N,SOMPT22,HOTA,3,28.0966,5.9190933123241125,13.392757083486496,42.800442916513504,24.082800000000002,34.894400000000005
yolo11,s,nms,YOLO11-S,MOT17,HOTA,3,36.09113333333334,7.072227949757653,18.522745177245632,53.659521489421046,29.619999999999994,43.6406
yolo11,s,nms,YOLO11-S,MOT20,HOTA,3,12.365346666666667,11.073059373747318,-15.141657708109541,39.872351041442876,4.80914,25.076000000000004
yolo11,s,nms,YOLO11-S,SOMPT22,HOTA,3,30.849666666666664,6.642325979153185,14.349214208113303,47.350119125220026,26.0556,38.431599999999996
yolo11,x,nms,YOLO11-X,MOT17,HOTA,3,36.5628,8.402042865874945,15.690968461137231,57.434631538862774,29.851999999999993,45.98600000000001
yolo11,x,nms,YOLO11-X,MOT20,HOTA,3,10.665553333333333,11.188007771007907,-17.12699868998316,38.45810535664983,2.91428,23.491599999999995
yolo11,x,nms,YOLO11-X,SOMPT22,HOTA,3,31.3216,6.291468518557491,15.692725790761356,46.95047420923864,25.398800000000005,37.9262
yolo26,l,end2end,YOLO26-L (E2E),MOT17,HOTA,3,36.76273333333333,7.373846131655673,18.445084077043184,55.080382589623476,31.748199999999997,45.2294
yolo26,l,end2end,YOLO26-L (E2E),MOT20,HOTA,3,9.982153333333335,10.194002274559946,-15.341152150569672,35.30545881723634,2.98114,21.6776
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,HOTA,3,30.6564,6.746969171413189,13.89599944127562,47.41680055872438,25.032400000000006,38.1374
yolo26,l,nms,YOLO26-L (NMS),MOT17,HOTA,3,37.10926666666666,7.253653811241156,19.090191686180997,55.128341647152325,31.6424,45.3382
yolo26,l,nms,YOLO26-L (NMS),MOT20,HOTA,3,11.005873333333334,10.41476011534271,-14.865825028022709,36.87757169468938,3.763499999999999,22.941399999999998
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,HOTA,3,31.951533333333334,6.848254674976199,14.939525635554457,48.963541031112214,25.8702,39.369600000000005
yolo26,m,end2end,YOLO26-M (E2E),MOT17,HOTA,3,36.38033333333333,7.14314498336225,18.635777499662986,54.12488916700368,31.3942,44.56359999999999
yolo26,m,end2end,YOLO26-M (E2E),MOT20,HOTA,3,8.807216666666667,11.4014138747891,-19.515465506970386,37.129898840303724,0.62323,21.830000000000002
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,HOTA,3,28.878466666666668,4.994496015949292,16.471450762260254,41.28548257107308,24.922199999999993,34.4906
yolo26,m,nms,YOLO26-M (NMS),MOT17,HOTA,3,36.919000000000004,6.942335102831035,19.673283563449324,54.164716436550684,31.631600000000002,44.7808
yolo26,m,nms,YOLO26-M (NMS),MOT20,HOTA,3,9.760093333333332,11.280663775458132,-18.262628964858074,37.782815631524734,1.4059599999999997,22.592200000000002
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,HOTA,3,30.3546,5.410379317570994,16.91447270234788,43.79472729765212,26.709999999999997,36.5712
yolo26,n,end2end,YOLO26-N (E2E),MOT17,HOTA,3,32.53873333333333,9.880040952006896,7.995351010815373,57.0821156558513,25.938799999999997,43.89759999999999
yolo26,n,end2end,YOLO26-N (E2E),MOT20,HOTA,3,8.815293333333335,8.876335016330408,-13.234745222863014,30.865331889529685,2.21,18.9052
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,HOTA,3,26.000866666666667,6.40732413830714,10.084191143289713,41.91754219004362,22.292600000000004,33.3994
yolo26,n,nms,YOLO26-N (NMS),MOT17,HOTA,3,32.63306666666667,8.915477062576818,10.485793877274542,54.7803394560588,26.318,42.8316
yolo26,n,nms,YOLO26-N (NMS),MOT20,HOTA,3,9.277573333333333,9.109532449853468,-13.351759761761041,31.906906428427707,2.02048,19.5004
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,HOTA,3,26.787333333333333,6.641149521982873,10.289803356402999,43.28486331026367,22.718799999999998,34.451
