family,scale,mode,label,dataset,Recall,Precision,DetA,AssA,IDF1,IDR,IDP,MOTA,MT,ML,IDSW,Frag
rtdetr,l,nms,RT-DETR-L,MOT17,41.07166666666665,89.11200000000002,31.579133333333328,50.94033333333333,46.862733333333345,35.7402,79.50073333333334,34.74693333333333,19.0,36.0,36.733333333333334,90.4
rtdetr,l,nms,RT-DETR-L,MOT20,8.001152000000001,78.87806666666665,6.544374666666667,28.214800000000007,12.173200000000003,7.265943333333335,74.70106666666668,7.207676666666665,5.333333333333333,663.3333333333334,21.333333333333332,76.6
rtdetr,l,nms,RT-DETR-L,SOMPT22,28.61813333333333,96.68653333333332,23.7844,43.016799999999996,36.40173333333334,23.907466666666668,81.3061333333333,27.551266666666667,20.333333333333332,50.0,35.93333333333333,114.26666666666667
rtdetr,x,nms,RT-DETR-X,MOT17,42.782000000000004,87.29086666666669,32.842466666666674,47.415200000000006,46.47653333333332,36.07153333333334,74.19406666666667,35.548866666666676,18.0,34.666666666666664,35.46666666666667,90.8
rtdetr,x,nms,RT-DETR-X,MOT20,9.58225,83.58113333333333,7.748048666666666,28.46566666666666,14.07009333333334,8.536516666666667,77.8276,8.640049999999997,6.666666666666667,652.0,29.266666666666666,98.33333333333333
rtdetr,x,nms,RT-DETR-X,SOMPT22,29.009400000000003,96.83373333333333,24.076133333333335,43.7798,36.427533333333336,23.931933333333333,80.46839999999999,27.9732,20.0,50.333333333333336,36.0,104.33333333333333
yolo11,l,nms,YOLO11-L,MOT17,35.211999999999996,91.04800000000002,28.001199999999997,54.27733333333333,43.869533333333344,32.16073333333333,84.11580000000001,30.916533333333334,15.333333333333334,43.666666666666664,24.2,66.8
yolo11,l,nms,YOLO11-L,MOT20,5.4635266666666675,87.18239999999999,4.6205252666666645,21.269599999999993,8.682723333333335,4.935220000000001,83.62826666666666,5.121130000000003,3.0,679.6666666666666,9.666666666666666,40.733333333333334
yolo11,l,nms,YOLO11-L,SOMPT22,26.209600000000002,97.66640000000001,22.085666666666665,41.577066666666674,33.58506666666667,21.609933333333338,81.65026666666668,25.447866666666666,19.0,50.666666666666664,36.666666666666664,104.66666666666667
yolo11,m,nms,YOLO11-M,MOT17,35.69899999999999,90.98166666666665,28.36726666666667,51.30113333333334,42.878399999999985,31.35433333333333,81.70273333333334,31.38493333333333,16.666666666666668,42.666666666666664,24.666666666666668,65.0
yolo11,m,nms,YOLO11-M,MOT20,6.833687333333333,86.3294,5.693589333333334,21.106866666666672,10.13576066666667,5.9677186666666655,78.99220000000001,6.363214000000001,5.333333333333333,671.6666666666666,22.8,67.46666666666667
yolo11,m,nms,YOLO11-M,SOMPT22,28.167333333333332,97.7744,23.607599999999994,41.181466666666665,34.269666666666666,22.433466666666668,80.29153333333333,27.3726,21.0,49.333333333333336,46.6,117.2
