scale,n_pairs,HOTA_e2e_minus_nms,HOTA_pvalue,IDF1_e2e_minus_nms,IDF1_pvalue,Frag_e2e_minus_nms,Frag_pvalue,IDSW_e2e_minus_nms,IDSW_pvalue
l,9,-1.1880400000000007,0.0078125,-1.4187453333333337,0.01171875,88.80000000000001,0.00390625,6.155555555555555,0.00390625
m,9,-0.49861122222222093,0.203125,-0.448864444444443,0.546875,26.444444444444443,0.0078125,-1.8222222222222229,0.34375
n,9,-0.15063555555555536,1.0,-0.0503331111111118,0.91015625,61.15555555555555,0.00390625,7.866666666666666,0.00390625
s,9,-0.5506022222222209,0.0390625,-0.6304894222222204,0.203125,34.62222222222223,0.0078125,1.488888888888889,0.296875
x,9,-0.9973955555555558,0.0390625,-1.1036873333333324,0.07421875,82.0,0.00390625,3.8000000000000003,0.0234375
ALL,45,-0.6770569111111107,4.57222070053831e-05,-0.7304239288888883,0.0021458928200689792,58.604444444444454,1.120159643476778e-08,3.4977777777777774,0.000113627095748125
