family,scale,mode,tracker,dataset,fps_mean,fps_std,lat_mean,lat_std
rtdetr,l,nms,botsort,MOT17,23.859300704721015,0.9151177234962268,41.912376744643275,1.7195502433632945
rtdetr,l,nms,botsort,MOT20,23.616689332335373,1.7033987305897582,42.342937484926196,2.84755707007019
rtdetr,l,nms,botsort,SOMPT22,20.806521098129025,0.9480180562646195,48.06185499650504,2.181673925100572
rtdetr,l,nms,bytetrack,MOT17,46.152570147794094,1.142435931337285,21.66726569718016,0.5680956815732005
rtdetr,l,nms,bytetrack,MOT20,44.02498735126306,2.0644560320669854,22.714373363046757,1.086274204331117
rtdetr,l,nms,bytetrack,SOMPT22,37.16160472379678,1.2853258448405975,26.909494555805356,0.951292103600708
rtdetr,x,nms,botsort,MOT17,22.082368115340362,0.7878918149501373,45.28499818392719,1.7130963205648833
rtdetr,x,nms,botsort,MOT20,21.26050868652793,1.7509877228076214,47.035563200501706,4.109621439248043
rtdetr,x,nms,botsort,SOMPT22,19.79136494301879,1.2845965393237648,50.527086074108304,3.2755274958894667
rtdetr,x,nms,bytetrack,MOT17,38.039971866799334,0.6376466348830434,26.288137212656135,0.47206710477176195
rtdetr,x,nms,bytetrack,MOT20,36.532467082531866,1.2477851717915953,27.372911819529257,0.9422756541831542
rtdetr,x,nms,bytetrack,SOMPT22,33.505948929430915,0.8765587186693242,29.845446314807138,0.786892550992453
yolo11,l,nms,botsort,MOT17,30.632606884313795,1.971797704850789,32.64495260806795,2.501594619560297
yolo11,l,nms,botsort,MOT20,30.427644813203273,2.610576714952108,32.86485057055998,3.2318852805623073
yolo11,l,nms,botsort,SOMPT22,24.071735826865837,1.8616200446205085,41.54249644447851,2.961492067688843
yolo11,l,nms,bytetrack,MOT17,77.2546251726159,2.0577811175488465,12.944208812943222,0.3703967145069835
yolo11,l,nms,bytetrack,MOT20,69.3861265715604,4.210001353004288,14.412102957911396,0.8564912111032709
yolo11,l,nms,bytetrack,SOMPT22,57.92208837905233,2.0097122093462136,17.264570874168488,0.5747918700118086
yolo11,m,nms,botsort,MOT17,32.01496675183729,2.1538490802520296,31.235390864262307,2.5022811191924768
yolo11,m,nms,botsort,MOT20,30.479677169211474,3.148958817915595,32.8087464459805,3.9802325566804324
yolo11,m,nms,botsort,SOMPT22,25.422957873187354,1.6442898903380614,39.33452609991785,2.131480053039206
yolo11,m,nms,bytetrack,MOT17,90.36612230808444,3.98495814189425,11.066093957099417,0.6424738183020112
yolo11,m,nms,bytetrack,MOT20,83.36400944895536,3.278574625869608,11.995584264841655,0.4767977231955167
yolo11,m,nms,bytetrack,SOMPT22,65.6089243029649,1.810002972328614,15.241828922270711,0.3896139357357729
yolo11,n,nms,botsort,MOT17,34.73867539354888,2.6381381103626835,28.786359545122558,2.5489953443782536
yolo11,n,nms,botsort,MOT20,30.878805369979947,2.4054343941826914,32.38467252920962,2.332949419585352
yolo11,n,nms,botsort,SOMPT22,27.751383519614908,1.587957677701574,36.03423949271544,1.874147731244585
yolo11,n,nms,bytetrack,MOT17,96.14582381847895,9.137374562708564,10.400867768193203,1.1190203035204662
yolo11,n,nms,bytetrack,MOT20,80.15637437032686,7.840009159190072,12.47561417111938,1.1884926904138913
yolo11,n,nms,bytetrack,SOMPT22,66.09175540797744,6.215974884994535,15.13048025169108,1.4148034597592005
yolo11,s,nms,botsort,MOT17,33.713676424021415,2.0946650767889063,29.66155299774686,2.2459858964214696
yolo11,s,nms,botsort,MOT20,30.32841426025773,3.2853831061922723,32.97238000703509,3.7162059107880556
yolo11,s,nms,botsort,SOMPT22,26.66982439495871,1.38432616299257,37.495559970354584,1.695419249077369
yolo11,s,nms,bytetrack,MOT17,99.1436290594229,5.039874641999966,10.086376799871207,0.6665855979380544
yolo11,s,nms,bytetrack,MOT20,83.13798781589989,5.836483256523954,12.028195849704616,0.8767853688944518
yolo11,s,nms,bytetrack,SOMPT22,65.19270970707579,4.216432708798245,15.339138448044345,1.042099537787159
yolo11,x,nms,botsort,MOT17,29.06081967786629,1.99976984950964,34.41059168615378,2.041708981370679
yolo11,x,nms,botsort,MOT20,29.24607462773134,2.4514522026413164,34.19262286405413,2.9878413710680665
yolo11,x,nms,botsort,SOMPT22,23.877147006031603,0.9388754392810728,41.88105051861473,1.6153098142601412
yolo11,x,nms,bytetrack,MOT17,70.30727375952982,3.3338980424143787,14.223279420850174,0.7007435151156879
yolo11,x,nms,bytetrack,MOT20,64.28775907829487,2.563903733902531,15.555060781977462,0.6152329742047841
yolo11,x,nms,bytetrack,SOMPT22,56.47449553196642,1.529148651780938,17.707108148207666,0.47430119898172957
yolo26,l,end2end,botsort,MOT17,30.402810054148997,0.4843622606824216,32.89169646552235,0.5752389955679912
yolo26,l,end2end,botsort,MOT20,30.21871699146592,2.826906696114326,33.09207337566351,3.3713360640720373
yolo26,l,end2end,botsort,SOMPT22,25.59099818996423,1.2318192897121183,39.07624050366899,1.7796700213657652
yolo26,l,end2end,bytetrack,MOT17,73.77931860102314,3.9497075419016556,13.553933798273551,0.9212014605628774
yolo26,l,end2end,bytetrack,MOT20,70.39608877132328,1.3029874157808028,14.205334663526967,0.2639618501743873
